event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR146956,"01 February 2024",2024,2,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Khersonskyi,Darivska,Ivanivka,46.7453,33.0271,2,"Ministry of Defence of Russia",National,"Around 1 February 2024 (between 27 January - 3 February), the Russian air forces and artillery struck the Ukrainian military near Ivanivka, Kherson. Casualties unknown.",0,,1707858548
UKR146959,"01 February 2024",2024,2,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Tiahynska,Tiahynka,46.7814,33.0559,2,"Ministry of Defence of Russia",National,"Around 1 February 2024 (between 27 January - 3 February), the Russian air forces and artillery struck the Ukrainian military near Tiahynka, Kherson. Casualties unknown.",0,,1707858548
UKR146957,"01 February 2024",2024,2,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Khromove,48.5973,37.9451,2,"Ministry of Defence of Russia",National,"Around 1 February 2024 (between 27 January - 3 February), the Russian air forces and artillery struck the Ukrainian military near Khromove, Donetsk. Casualties unknown.",0,,1715131285
UKR146955,"01 February 2024",2024,2,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Antonivka,46.6799,32.6925,2,"Ministry of Defence of Russia",National,"Around 1 February 2024 (between 27 January - 3 February), the Russian air forces and artillery struck the Ukrainian military near Antonivka, Kherson. Casualties unknown.",0,,1732654923
UKR146960,"01 February 2024",2024,2,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Khersonskyi,Bilozerska,Yantarne,46.576,32.4419,2,"Ministry of Defence of Russia",National,"Around 1 February 2024 (between 27 January - 3 February), the Russian air forces and artillery struck the Ukrainian military near Yantarne, Kherson. Casualties unknown.",0,,1732654923
UKR146563,"31 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Luhansk,Sievierodonetskyi,Lysychanska,Bilohorivka,48.9259,38.2467,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 31 January 2024, Russian forces launched an air strike near Bilohorivka, Luhansk region. According to Russian sources, on that day, up to 210 Ukrainian soldiers were killed near Bilohorivka, Klischiivka, Kurdiumivka, Heorhiivka, Novomykhaylivka and Ivanivske [Russian MoD reported 210 fatalities. Coded as 10 fatalities split across 6 events. 1 fatality coded to this event].",1,,1707254099
UKR146670,"31 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)","Military Forces of Ukraine (2019-) Territorial Defense Forces",1,18,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Staromaiorske,47.7528,36.7957,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 31 January 2024, Russian forces launched an air strike and shelled Ukrainian military and territorial defense positions near Staromaiorske, Donetsk region. According to Russian sources, on that day, up to 80 Ukrainian soldiers were killed near Staromaiorske, Urozhaine and Priyutne [Russian MoD reported 80 fatalities. Coded as 10 fatalities split across 3 events. 3 fatalities coded to this event].",3,,1707254099
UKR146685,"31 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)","Military Forces of Ukraine (2019-) Territorial Defense Forces",1,18,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Urozhaine,47.7531,36.8184,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 31 January 2024, Russian forces launched an air strike and shelled Ukrainian military and territorial defense positions near Urozhaine, Donetsk region. According to Russian sources, on that day, up to 80 Ukrainian soldiers were killed near Staromaiorske, Urozhaine and Priyutne [Russian MoD reported 80 fatalities. Coded as 10 fatalities split across 3 events. 3 fatalities coded to this event].",3,,1707254099
UKR146512,"30 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Tokmatska,Robotyne,47.4478,35.837,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 30 January 2024, Russian Forces launched air strikes in the area of Robotyne, Zaporizhia. Russian Forces shelled Robotyne with artillery and mortars. According to Russian sources, 80 Ukrainian soldiers were killed in Robotyne, Mala Tokmachka, Orikhiv and Shcherbaky. [Russian MoD reported 80 fatalities. Coded as 10 fatalities split across 4 events. 2 fatalities coded to this event].",2,,1707254099
UKR146497,"30 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Orikhivska,Orikhiv,47.5673,35.7858,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 30 January 2024, Russian Forces launched air strikes in the area of Orikhiv, Zaporizhia. According to Russian sources, Russian Forces shelled Ukrainian Forces in the vicinity of Orikhiv with artillery. According to Russian sources, 80 Ukrainian soldiers were killed in Robotyne, Mala Tokmachka, Orikhiv and Shcherbaky. [Russian MoD reported 80 fatalities. Coded as 10 fatalities split across 4 events. 3 fatalities coded to this event].",3,,1715131285
UKR146481,"30 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Malotokmachanska,"Mala Tokmachka",47.5325,35.8978,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 30 January 2024, Russian Forces launched air strikes in the area of Mala Tokmachka, Zaporizhia. Russian Forces shelled Mala Tokmachka with artillery and mortars. According to Russian sources, 80 Ukrainian soldiers were killed in Robotyne, Mala Tokmachka, Orikhiv and Shcherbaky. [Russian MoD reported 80 fatalities. Coded as 10 fatalities split across 4 events. 3 fatalities coded to this event].",3,,1715131285
UKR146303,"28 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Tavriiska,Yurkivka,47.6545,35.655,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 28 January 2024, Russian forces carried out airstrikes and fired artillery at Ukrainian positions near Yurkivka, Zaporizhia. According to Russian sources, up to 30 Ukrainian servicemen were killed near Yurkivka and Robotyne [Russian MoD reported 30 fatalities. Coded as 10 fatalities split across 2 events. 5 fatalities coded to this event].",5,,1707254098
UKR146197,"27 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,1,"24 Channel",National,"On 27 January 2024, Russian air forces carried out drone strikes at Zaporizhia. Ukrainian forces shot down some Russian drones. Casualties unknown.",0,,1707254098
UKR176338,"26 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Beryslavska,Beryslav,46.8415,33.4284,1,"Ministry of Defence of Ukraine; WarGonzo",Other-National,"On 26 January 2024, Russian forces conducted FPV-kamikaze drone strikes, dropped drone-borne explosives and fired artillery at Ukrainian military positions in Beryslav, Kherson. No casualties.",0,,1726615181
UKR149322,"26 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kharkiv,Kupianskyi,Petropavlivska,Pischane,49.5693,37.8295,2,"Centre for Information Resilience","New media","On 26 January 2024, Russian forces conducted an airstrike on Ukrainian positions near Pischane, Kharkiv region. Casualties unknown.",0,,1732654927
